Factura,Fecha,Customer_ID,Sexo,Venta ($),Ciudad,Product ID
227837,23/8/2019,175335,#ERROR!,  2.901 ,Rivera,4
227832,23/8/2019,140862,#ERROR!,  7.256 ,Montevideo Periferia,19
227831,23/8/2019,225831,#ERROR!,  2.901 ,Durazno,4
227826,23/8/2019,185845,#ERROR!,  4.462 ,Montevideo Periferia,0
227823,23/8/2019,153566,#ERROR!,  2.901 ,Rivera,4
227821,23/8/2019,164715,#ERROR!,  2.214 ,Paysandú,3
227822,23/8/2019,106381,#ERROR!,  3.223 ,Artigas,4
227820,23/8/2019,113294,#ERROR!,  2.901 ,Paysandú,4
227819,23/8/2019,196364,#ERROR!,  5.442 ,Rocha,1
227817,23/8/2019,181620,#ERROR!,  3.627 ,Artigas,0
227818,23/8/2019,153814,#ERROR!,  4.030 ,Montevideo Céntrico,2
227816,22/8/2019,136947,#ERROR!,  803 ,Colonia,3
227814,22/8/2019,989874,#ERROR!,  2.901 ,Cerro Largo,4
227815,22/8/2019,927556,#ERROR!,  4.462 ,Rivera,0
227812,22/8/2019,166995,#ERROR!,  4.030 ,Florida,2
227813,22/8/2019,185600,#ERROR!,  1.993 ,Salto,3
227811,22/8/2019,163830,#ERROR!,  10.887 ,San José,18
227809,22/8/2019,185688,#ERROR!,  5.079 ,Paysandú,0
227810,22/8/2019,106109,#ERROR!,  5.079 ,Paysandú,0
227808,22/8/2019,182153,#ERROR!,  4.030 ,Rivera,2
227805,22/8/2019,170327,#ERROR!,  2.901 ,Rocha,4
227805,22/8/2019,170327,#ERROR!,  2.901 ,Rocha,10
227806,22/8/2019,177726,#ERROR!,  3.223 ,Montevideo Periferia,4
227806,22/8/2019,177726,#ERROR!,  7.256 ,Montevideo Periferia,19
227807,22/8/2019,184653,#ERROR!,  4.030 ,Maldonado,2
227803,22/8/2019,120480,#ERROR!,  6.046 ,Treinta y Tres,1
227804,22/8/2019,169256,#ERROR!,  5.079 ,Rocha,0
